id,name,continent,flag,cuisine_summary,dish1_name,dish1_desc,dish2_name,dish2_desc,dish3_name,dish3_desc,dish4_name,dish4_desc,dish5_name,dish5_desc
afghanistan,Afghanistan,Asia,🇦🇫,"Afghan cuisine is one of Central Asia's most refined — long-grain rice perfumed with saffron, cardamom, and dried fruit; lamb marinated in yogurt and grilled over charcoal; and flatbreads baked directly on clay oven walls. Persian delicacy meets Silk Road spice. Kabuli pulao, the national dish, is a study in patience: slow-cooked rice layered with caramelized carrots, raisins, and tender lamb. It is food built for hospitality and ceremony.",Kabuli pulao,"The national dish. Basmati rice cooked with lamb, topped with caramelized carrots and raisins. Fragrant, rich, and made for a crowd.",Mantu,"Steamed dumplings filled with spiced ground beef and onion, draped in yogurt and a garlicky tomato sauce.",Bolani,"Flatbread stuffed with potato, leek, or spinach and pan-fried until crispy. The everyday street food and tea-time snack.",,,,
albania,Albania,Europe,🇦🇱,"Albanian cuisine is where the Mediterranean and the Balkans quietly negotiate — olive-oil-drenched vegetables, slow-grilled meats, and thick salted yogurt that appears at nearly every meal. Tavë kosi, the national dish, is a baked lamb and rice custard set in tangy yogurt and eggs — rich, custardy, deeply satisfying. Byrek (flaky filo filled with spinach, white cheese, or spiced meat) turns up at every bakery. The cooking is unpretentious and ingredient-honest, with centuries of Ottoman and Byzantine history underneath.",Tavë kosi,"Baked lamb and rice set in a tangy yogurt-egg custard. Albania's national dish — rich, custardy, and deeply satisfying.",Byrek,"Flaky filo pastry filled with spinach and white cheese, or spiced meat. Found in every bakery, eaten at any hour.",Fërgesë,"Roasted peppers and tomatoes baked with cottage cheese and olive oil. A staple of Tirana — simple, warming, vegetarian.",,,,
algeria,Algeria,Africa,🇩🇿,"Algerian cuisine draws on Berber, Arab, Ottoman, and French influences — slow-cooked couscous, spiced lamb stews, and merguez sausages sizzling over charcoal at street-side grills.",Couscous,"Steamed semolina piled with lamb or chicken and seven vegetables in a spiced broth. The Friday family meal, non-negotiable.",Chorba frik,"Spiced lamb soup with cracked freekeh wheat, tomatoes, chickpeas, and fresh coriander. The Ramadan table's anchor dish.",Merguez,"Spicy lamb-and-beef sausages grilled over charcoal, eaten stuffed in a baguette or alongside flatbread.",,,,
andorra,Andorra,Europe,🇦🇩,"Andorran cuisine is Pyrenean mountain food — hearty enough to fuel a day of altitude and physical labor. It shares its soul with Catalan cooking: trinxat (mashed cabbage and potato fried with bacon into a golden cake), escudella (a slow winter stew of pork, sausage, and root vegetables), and cured mountain meats aged in cold air. French and Spanish influences converge naturally in this tiny nation — the wine is Catalan, the cheese is French, and the cooking is entirely its own.",Escudella,"Thick winter stew of pork, sausage, pasta, and root vegetables. The Andorran Sunday lunch when the mountains are cold.",Trinxat,"Mashed cabbage and potato formed into a cake and fried with bacon. Simple, warming, and pure Pyrenean comfort.",Cargols,"Snails cooked with garlic, parsley, and olive oil. A mountain delicacy shared with neighboring Catalonia.",,,,
angola,Angola,Africa,🇦🇴,"Angolan food is built on cassava, palm oil, and beans — indigenous West African tradition layered with a Portuguese colonial legacy. Fish from the Atlantic coast and piri piri heat run through everything.",Muamba de galinha,"Chicken stewed in red palm oil with garlic, okra, and piri piri chiles. Angola's national dish — rich, orange, deeply savory.",Funje,"Smooth cassava porridge, the everyday staple. Neutral, filling, and the required companion to every stew and fish dish.",Calulu,"Dried fish stewed with palm oil, okra, sweet potato leaves, and onion. An ancient dish, still on every table.",,,,
antigua_and_barbuda,Antigua and Barbuda,North America,🇦🇬,"Antiguan food is Caribbean sunshine — salted fish, spiced pepperpot stew, and cornmeal dumplings. The official national dish is fungee and pepperpot, and rum is present at every occasion.",Fungee and pepperpot,"The national dish. Okra-studded cornmeal dumpling paired with a thick, spiced stew of greens and salted meat.",Ducana,"Sweet dumplings of grated sweet potato and coconut, steamed in banana leaves. Always served alongside saltfish.",Conch water,"Stewed conch in a savory broth with lime and hot peppers. A seaside staple, eaten as soup or a light lunch.",,,,
argentina,Argentina,South America,🇦🇷,"Argentine cuisine is the art of the asado — open-fire grilling elevated to a social ritual. Entire cuts of beef, pork ribs, and blood sausage go over slow wood-burning coals, dressed only in chimichurri. Away from the grill: empanadas baked in stone ovens, milanesa (breaded and fried cutlets) eaten at any hour, and locro (a corn-and-bean stew) in the winter. The Mendoza wine valleys produce Malbec that belongs on any world list. Argentina feeds itself with an Italian immigrant's love of food and a gaucho's pride in the flame.",Empanadas,"Hand pies stuffed with seasoned beef, chicken, or cheese. Baked, not fried — the everyday Argentine snack.",Asado,"Mixed grill of beef cuts, sausages, and offal. The Sunday family ritual.",Chimichurri,"Bright herbaceous sauce of parsley, garlic, vinegar, and oil — the steak's required companion.",,,,
armenia,Armenia,Asia,🇦🇲,"Armenian cuisine is ancient and deeply flavored — lamb grilled over vine cuttings, grape leaves simmered in lemon broth, and lavash flatbread baked directly on the wall of a clay oven.",Khorovats,"Armenian-style barbecue: pork, lamb, or chicken marinated and grilled over charcoal. The national pastime and the center of any celebration.",Dolma,"Grape leaves stuffed with spiced lamb and rice, simmered slowly in a lemon broth until tender. Patient, perfect.",Manti,"Tiny oven-baked dumplings filled with spiced minced meat, served with yogurt, sumac, and browned butter. Worth every fold.",,,,
australia,Australia,Oceania,🇦🇺,"Australian food is a multicultural barbecue — Indigenous bush ingredients, British working-class staples, and a modern dining scene shaped by waves of Asian and Mediterranean immigration. Casualness is the point.",Meat pie,Minced beef in gravy inside a short-crust pastry shell. The football ground staple — eaten with a squirt of tomato sauce.,Barramundi,"Native river fish, grilled or pan-fried. Clean, firm white flesh that appears on both beachside fish-and-chip counters and fine-dining menus.",Lamington,Sponge cake squares dipped in chocolate icing and rolled in desiccated coconut. The quintessential Australian morning-tea cake.,,,,
austria,Austria,Europe,🇦🇹,"Austrian cuisine is Vienna's coffee-house culture and Alpine heartiness in equal measure — breaded veal cutlets, dumplings in clear broth, and glass cases of pastries you can stare at for ten minutes before choosing.",Wiener Schnitzel,"Veal pounded thin, breaded, and pan-fried in butter until golden and airy. Served with lemon and a spoonful of lingonberry.",Tafelspitz,"Boiled beef in broth with root vegetables, served sliced with apple-horseradish sauce. The Viennese Sunday lunch of emperors and families alike.",Apfelstrudel,"Gossamer pastry wrapped around spiced apple and raisins, baked until flaky. Best served warm with vanilla sauce.",,,,
azerbaijan,Azerbaijan,Asia,🇦🇿,"Azerbaijani cuisine sits at the Silk Road crossroads — saffron-yellow rice with lamb and dried fruit, pomegranate-soured stews, and lavash stuffed with handfuls of fresh herbs.",Plov,"Saffron-scented rice layered with lamb, chestnuts, and dried apricots, sealed and slow-cooked. The centerpiece of every celebration.",Dolma,"Grape leaves, quince, or cabbage stuffed with spiced lamb and rice, simmered in a tart pomegranate broth.",Dushbara,"Tiny lamb dumplings served in a sour broth with dried mint and a splash of vinegar. Fiddly to fold, impossible to stop eating.",,,,
bahamas,Bahamas,North America,🇧🇸,"Bahamian food is the sea on a plate — conch in every form (cracked, stewed, in salad), freshly caught fish, and johnnycakes. Simple, sun-drenched, and entirely tied to the ocean.",Cracked conch,"Conch pounded thin, battered, and deep-fried until golden. Served with peas and rice or coleslaw — the island's essential plate.",Conch salad,"Raw conch diced with tomato, onion, bell pepper, and lime juice. The Bahamian ceviche, made to order at roadside shacks.",Peas and rice,"Pigeon peas cooked with rice, tomato, and thyme. The island's foundational side dish, eaten alongside almost everything.",,,,
bahrain,Bahrain,Asia,🇧🇭,"Bahraini food is spiced Gulf cooking with a pearl-diving heritage — saffron-scented rice dishes, slow-cooked lamb, and fish pulled from the warm, shallow waters of the Arabian Gulf.",Machboos,Spiced rice cooked with meat or fish in a fragrant broth with dried limes (loomi) and rose water. The national dish of Bahrain.,Harees,"Slow-cooked wheat and lamb or chicken, stirred until porridge-smooth. A Ramadan staple and wedding dish — humble, ancient, deeply satisfying.",Muhammar,"Sweet rice cooked with sugar, saffron, and cardamom. Served alongside fish as a rich, fragrant counterpoint.",,,,
bangladesh,Bangladesh,Asia,🇧🇩,"Bangladeshi food is mustard-oil bold and river-fresh — hilsa fish in sharp mustard sauce, rice at every meal, and fiery curries built around the vast delta's endless freshwater catch.",Ilish bhapa,"Hilsa fish marinated in mustard paste and green chile, then steamed in banana leaf. The dish Bangladeshis are most homesick for.",Shorshe ilish,"Hilsa fish cooked in a sharp, pungent mustard sauce with green chiles. Simple, deeply loved, and non-negotiable in Bengali homes.",Dhakaiya biryani,"Rich beef or mutton biryani from old Dhaka, perfumed with saffron and sour dried plum (aloo bukhara). Sweeter and richer than its Indian cousins.",,,,
